standard_bangla,dialect_v1,dialect_v2,dialect_v3,dialect_v4,dialect_v5,dialect
সে বাজারে যাচ্ছে,হেগ্গা বাজারে যাইতেসে,হেতে বাজারত যাইতাছে,হেতে বাজারত যাইতেচে,হেতে বাজারত যাইতেচে,হেগ্গা বাজারে যাইতেসে,noyakhali
আমার বোন স্কুলে পড়ে,আর বইন স্কুল এ হরে,আঁর বইন স্কুলত ফড়ে,আমার বইন স্কুলত পড়ে,আর বইন স্কুল এ হরে,আঁর বইন স্কুলত ফড়ে,noyakhali
তোমার বাবা কি হাসপাতালে গিয়েছিলেন ,তোর আব্বা কি হাসফাতালে গেসিলো নি ,তোঁয়ার বাড়া কি হাছফাতালত গেছিলি,তোর আব্বা কি হাস্পাতালে গেইছিল,তোঁয়ার বাড়া কি হাছফাতালত গেছিলি,তোর আব্বা কি হাস্পাতালে গেইছিল,noyakhali
আমরা আজ পার্কে ঘুরতে যাবো,আমরা আইজ্জা পার্ক গুইত্তে যাইয়ুম,আঁরা আইজ ফার্কত ঘুরতোঁ যাইয়ুম,আঁরা আইজ পার্কে ঘুরতে যামু,আঁরা আইজ পার্কে ঘুরতে যামু,আমরা আইজ্জা পার্ক গুইত্তে যাইয়ুম,noyakhali
তারা মসজিদে নামাজ পড়ছে,হেতারা মসজিদে নামাজ হরে,হেতারা মশজিদত নামাজ ফড়তাছে,হেতরা মসজিদত নামাজ পড়তেচে,হেতারা মসজিদে নামাজ হরে,হেতারা মশজিদত নামাজ ফড়তাছে,noyakhali
আমি ডাকঘরে চিঠি পাঠাবো,ডাকঘর এ আয়ে চিডি হাড়াইয়ুম,আঁই ডাকঘরত চিঠি ফাড়াইয়ুম,আঁই ডাকঘরত চিঠি পাঠামু,আঁই ডাকঘরত চিঠি ফাড়াইয়ুম,আঁই ডাকঘরত চিঠি পাঠামু,noyakhali
মেয়েটি কলেজে পড়ছে,মাইয়া হেগ্গা কলেজ এ হরে,মাইয়াডা কলেজত ফড়তাছে,মাইয়াডা কলেজত পড়তেচে,মাইয়াডা কলেজত পড়তেচে,মাইয়া হেগ্গা কলেজ এ হরে,noyakhali
দোকানদার দোকানে বসে আছে,দোয়ানদার দোয়ান এ বই রইছে,দোকানদার দোকানত বহি রইছে,দ্যানদার দ্যানে বসতেচে,দোয়ানদার দোয়ান এ বই রইছে,দোকানদার দোকানত বহি রইছে,noyakhali
তিনি ব্যাংকে টাকা জমা দিচ্ছেন,হেতে ব্যাংক এ টেকা জমা দিতেসে,হেতে ব্যাংকত টেহা জমা দিতাসে,হেতে ব্যাংকত টাকা জমা দিতেচে,হেতে ব্যাংকত টেহা জমা দিতাসে,হেতে ব্যাংকত টাকা জমা দিতেচে,noyakhali
আমরা রেস্টুরেন্টে খেতে যাবো,রেস্টুরেন্ট এ আনরা খাইতে যাইয়ুম,আঁরা রেস্টুরেন্টত খাইতোঁ যাইয়ুম,আঁরা রেস্টুরেন্টে খাইতে যামু,আঁরা রেস্টুরেন্টে খাইতে যামু,রেস্টুরেন্ট এ আনরা খাইতে যাইয়ুম,noyakhali
করিম রেলস্টেশনে অপেক্ষা করছে,রেল স্টেশন এ করিম অফেক্কা কইত্তাসে,করিম রেলশ্টিশনত ওফোক্ষা করতাছে,করিম রেলস্টেশনে থুইয়া থাকতেচে,রেল স্টেশন এ করিম অফেক্কা কইত্তাসে,করিম রেলশ্টিশনত ওফোক্ষা করতাছে,noyakhali
তারা নদীর ধারে বসে আছে,নদীর দারে বই রইছে হেতারার,হেতারা নদীর ধারত বহি রইছে,হেতরা নদীর ধারে বসতেচে,হেতারা নদীর ধারত বহি রইছে,হেতরা নদীর ধারে বসতেচে,noyakhali
আমার মা রান্নাঘরে রান্না করছেন,রশি ঘরে আর মা রাইনতেসে,আঁর মা রান্ধন ঘরত রান্ধতাছে,আমার মাই ফাকঘরত রান্না করতেচে,আমার মাই ফাকঘরত রান্না করতেচে,রশি ঘরে আর মা রাইনতেসে,noyakhali
সে খেলার মাঠে খেলছে,হেগ্গা মাডো খেলতেসে,হেতে খেলার মাটত খেলতাছে,হেতে খেলার মাঠে খেলতেচে,হেগ্গা মাডো খেলতেসে,হেতে খেলার মাটত খেলতাছে,noyakhali
আমরা আজ চিড়িয়াখানায় যাবো,আমরা আইজ্জা চিড়িয়াখানা যাইয়ুম,আঁরা আইজ সিড়িয়াখানাত যাইয়ুম,আঁরা আইজ চিড়িয়াখানায় যামু,আঁরা আইজ সিড়িয়াখানাত যাইয়ুম,আঁরা আইজ চিড়িয়াখানায় যামু,noyakhali
তুমি কি লাইব্রেরিতে গিয়েছিলে ,লাইব্রেরি গেসিলিনি তুই ,তুই কি লাইব্রেরিত গেছিলি,তুঁই লাইব্রেরি গেইছিলি নি,তুঁই লাইব্রেরি গেইছিলি নি,লাইব্রেরি গেসিলিনি তুই ,noyakhali
সে সিনেমা হলে সিনেমা দেখছে,হেগ্গা সিনেমা হল এ সিনেমা দেয়া,হেতে সিনেমা হলত সিনেমা দেকতাছে,হেতে সিনেমা হলে সিনেমা দেখতেচে,হেগ্গা সিনেমা হল এ সিনেমা দেয়া,হেতে সিনেমা হলত সিনেমা দেকতাছে,noyakhali
আমার দাদা বাড়িতে বিশ্রাম নিচ্ছেন,আর দাদা বাইত জিরাইতেসে,আঁর দাদা বাড়িত বিশরাম নিতাছে,আমার দাদা বাড়িত হুইরা আরাম লইতেচে,আঁর দাদা বাড়িত বিশরাম নিতাছে,আমার দাদা বাড়িত হুইরা আরাম লইতেচে,noyakhali
তারা বিশ্ববিদ্যালয়ে পড়ছে,হেতারা বিসশবিদ্যালয়ে হরে,হেতারা বিশ্শোবিদ্যালয়ত ফড়তাছে,হেতরা ভার্সিটিত পড়তেচে,হেতরা ভার্সিটিত পড়তেচে,হেতারা বিসশবিদ্যালয়ে হরে,noyakhali
সে ওষুধের দোকানে ওষুধ কিনছে,ওসুদর দোয়ান এ হেগ্গা ওসুদ কিনতেসে,হেতে ওহু দের দোকানত ওহু দ কিন্নতাছে,হেতে ওষুধের দ্যানে ওষুধ কিনতেচে,ওসুদর দোয়ান এ হেগ্গা ওসুদ কিনতেসে,হেতে ওহু দের দোকানত ওহু দ কিন্নতাছে,noyakhali
শিক্ষক ক্লাসরুমে পড়াচ্ছেন,স্যার কেলাশ রুম এ হরাইতেসে,শিক্সক ক্লাছরুমত ফড়াতাছে,মাস্টরি ক্লাসরুমে পড়াইতেচে,শিক্সক ক্লাছরুমত ফড়াতাছে,মাস্টরি ক্লাসরুমে পড়াইতেচে,noyakhali
বাচ্চারা খেলার মাঠে দৌড়াচ্ছে,লেদা হেগুনটা মাডে দৌড়ায় এর,বাচ্চারা খেলার মাটত দৌড়াইতাছে,পোলাপান মাঠত দৌড়াইতেচে,পোলাপান মাঠত দৌড়াইতেচে,লেদা হেগুনটা মাডে দৌড়ায় এর,noyakhali
তিনি মন্দিরে পূজা করছেন,মন্দিরে হুজা কইত্তাসে হেতে,হেতে মন্দিরে ফূজা করতাছে,হেতে মন্দিরে পূজা করতেচে,মন্দিরে হুজা কইত্তাসে হেতে,হেতে মন্দিরে ফূজা করতাছে,noyakhali
আমি গ্রামে বেড়াতে যাবো,গ্রামের বাইত যাইয়ুম আয়ে,আঁই গাঁওত বেড়াইতে যাইয়ুম,আঁই গেরামে ঘুরতে যামু,আঁই গাঁওত বেড়াইতে যাইয়ুম,আঁই গেরামে ঘুরতে যামু,noyakhali
বাঘ সুন্দরবনে বাস করে,সুন্দর বন এ বাঘ থাকে,বাঘ সুন্দরবনত বাছ করে,বাঘ সুন্দরবনত থাকি,বাঘ সুন্দরবনত থাকি,সুন্দর বন এ বাঘ থাকে,noyakhali
সে হাতি দেখছে,হাতি দেখে হেগ্গা,হেতে হাতি দেকতাছে,হেতে হাতি দেখতেচে,হাতি দেখে হেগ্গা,হেতে হাতি দেকতাছে,noyakhali
আমার বোন হরিণ পছন্দ করে,আর বইন হেগ্গা হরিন হছন্দ করে,আঁর বইন হরিণ পছন্দ করে,আমার বইন হরিণ পছন্দ করে,আঁর বইন হরিণ পছন্দ করে,আমার বইন হরিণ পছন্দ করে,noyakhali
তোমার বাবা কি বানর দেখেছেন ,তোর আব্বা কি বান্দর দেখছে নি ,তোঁয়ার বাড়া কি বানর দেখছেল,তোর আব্বা কি বান্দর দেখছে,তোর আব্বা কি বান্দর দেখছে,তোর আব্বা কি বান্দর দেখছে নি ,noyakhali
আমরা আজ শিয়াল দেখবো,আইজ্জা আনরা শিয়াল দেক্কুম,আঁরা আইজ শিয়াল দেক্মু,আঁরা আইজ শিয়াল দেখুম,আইজ্জা আনরা শিয়াল দেক্কুম,আঁরা আইজ শিয়াল দেক্মু,noyakhali
তারা সাপ দেখছে,হাঁপ দেখে হেতারা,হেতারা হাফ দেকতাছে,হেতরা সাপ দেখতেচে,হেতারা হাফ দেকতাছে,হেতরা সাপ দেখতেচে,noyakhali
ভাল্লুক জঙ্গলে থাকে,জঙ্গলে বাল্লুক থাকে,বাল্লুক জঙ্গলত থাকে,ভাল্লুক জংগলে থাকি,ভাল্লুক জংগলে থাকি,জঙ্গলে বাল্লুক থাকে,noyakhali
মেয়েটি কুমির দেখে ভয় পেয়েছে,মাইয়া হিগ্গা কুমির দেই ডরাইছে,মাইয়াডা কুমির দেকি ডরাইছে,মাইয়াডা কুমির দেখি ডরাইছে,মাইয়া হিগ্গা কুমির দেই ডরাইছে,মাইয়াডা কুমির দেকি ডরাইছে,noyakhali
দোকানদার চিড়িয়াখানায় সিংহ দেখেছে,চিড়িয়াখানা এ দোয়ানদার সিংহ দেখে,দোকানদার সিড়িয়াখানাত সিংহ দেখছেল,দ্যানদার চিড়িয়াখানায় সিংহ দেখছে,দোকানদার সিড়িয়াখানাত সিংহ দেখছেল,দ্যানদার চিড়িয়াখানায় সিংহ দেখছে,noyakhali
আমি বন্য শুকর দেখেছি,আয়ে বন্য শুঅর দেখছি,আঁই বন্য শুকর দেখছি,আঁই বন্য শুকর দেখছি,আঁই বন্য শুকর দেখছি,আয়ে বন্য শুঅর দেখছি,noyakhali
তিনি গন্ডার দেখেছেন,হেতেনে গন্ডার দেখে,হেতে গন্ডার দেখছেল,হেতে গন্ডার দেখছে,হেতেনে গন্ডার দেখে,হেতে গন্ডার দেখছেল,noyakhali
তারা নেকড়ে দেখছে,হেতারা নেকড়ে দেখে,হেতারা নেকড়ে দেকতাছে,হেতরা নেকড়ে দেখতেচে,হেতারা নেকড়ে দেকতাছে,হেতরা নেকড়ে দেখতেচে,noyakhali
করিম বনবিড়াল দেখেছে,বন বিলয় দেখে করিম,করিম বনবিড়াল দেখছেল,করিম বনবিড়াল দেখছে,করিম বনবিড়াল দেখছে,বন বিলয় দেখে করিম,noyakhali
সে অজগর সাপের ছবি তুলছে,অজগর সাপ এর ছবি তুইলেছে হেগ্গা,হেতে অজগর হাফের ছবি তুইলা রইছে,হেতে অজগর সাপর ফটো তুলতেচে,অজগর সাপ এর ছবি তুইলেছে হেগ্গা,হেতে অজগর হাফের ছবি তুইলা রইছে,noyakhali
আমরা আজ চিতাবাঘ দেখবো,আনরা আইজ্জা চিতাবাঘ দেক্কুম,আঁরা আইজ চিতাবাঘ দেক্মু,আঁরা আইজ চিতাবাঘ দেখুম,আঁরা আইজ চিতাবাঘ দেক্মু,আঁরা আইজ চিতাবাঘ দেখুম,noyakhali
তুমি কি বন্য কুকুর দেখেছো ,বন্য কুততা দেখসোস নি তুই ,তুই কি বন্য কুত্তা দেখছছ,তুঁই বন্য কুকুর দেখছ নি,তুঁই বন্য কুকুর দেখছ নি,বন্য কুততা দেখসোস নি তুই ,noyakhali
সে একটি বন্য খরগোশ ধরেছে,হেগ্গা আক্কান বন্য খরগোশ ধইচ্ছে,হেতে একখান বন্য খরগোশ ধরছে,হেতে একখান বন্য খরগোশ ধইরছে,হেগ্গা আক্কান বন্য খরগোশ ধইচ্ছে,হেতে একখান বন্য খরগোশ ধরছে,noyakhali
আমার মা কাঠবিড়ালি দেখেছেন,আর আম্মর কাট বিলায় দেখে,আঁর মা কাঠবিড়ালি দেখছেল,আমার মায় কাঠবিড়ালি দেখছে,আঁর মা কাঠবিড়ালি দেখছেল,আমার মায় কাঠবিড়ালি দেখছে,noyakhali
তারা ঈগল পাখি দেখছে,হেতারা ইগল দেখে,হেতারা ঈগল ফাকি দেকতাছে,হেতরা ঈগল পাখি দেখতেচে,হেতরা ঈগল পাখি দেখতেচে,হেতারা ইগল দেখে,noyakhali
সে প্যাঁচা দেখছে,হেতে হেছা দেখে,হেতে ফ্যাঁসা দেকতাছে,হেতে প্যাঁচা দেখতেচে,হেতে হেছা দেখে,হেতে ফ্যাঁসা দেকতাছে,noyakhali
শিক্ষক বন্য মহিষের কথা বলছেন,বন্য মহিষর কতা কইতেসে স্যার এ,শিক্সক বন্য মইষের কতা কইতাছে,মাস্টরি বন্য মহিষর কতা কইতেচে,শিক্সক বন্য মইষের কতা কইতাছে,মাস্টরি বন্য মহিষর কতা কইতেচে,noyakhali
বাচ্চারা বন্য হাঁস দেখছে,বন্য হাঁশ দেখতাছে লেদা গুনটা,বাচ্চারা বন্য হাঁছ দেকতাছে,পোলাপান বন্য হাঁস দেখতেচে,পোলাপান বন্য হাঁস দেখতেচে,বন্য হাঁশ দেখতাছে লেদা গুনটা,noyakhali
তিনি বন্য ছাগল দেখেছেন,হেতে বন্য ছাগল দেখতাছে,হেতে বন্য ছাগল দেখছেল,হেতে বন্য ছাগল দেখছে,হেতে বন্য ছাগল দেখতাছে,হেতে বন্য ছাগল দেখছেল,noyakhali
আমি বনমোরগ দেখেছি,আয়ে বনমুরগি দেখছি,আঁই বনমোরগ দেখছি,আঁই বনমোরগ দেখছি,আঁই বনমোরগ দেখছি,আঁই বনমোরগ দেখছি,noyakhali
আমার একটি বিড়াল আছে,আর আক্কান বিলায় আছে,আঁর একখান বিলাই আছে,আমার একখান বিড়াল আছে,আমার একখান বিড়াল আছে,আর আক্কান বিলায় আছে,noyakhali
সে কুকুরকে খাবার দিচ্ছে,হিগ্গা কুততারে খাইতে দিসে,হেতে কুত্তারে খাওন দিতাছে,হেতে কুকুররে খাইতে দিতেচে,হিগ্গা কুততারে খাইতে দিসে,হেতে কুত্তারে খাওন দিতাছে,noyakhali
আমার বোন পাখি পছন্দ করে,আর বইন পাখি হছন্দ করে,আঁর বইন ফাকি পছন্দ করে,আমার বইন পাখি পছন্দ করে,আঁর বইন ফাকি পছন্দ করে,আমার বইন পাখি পছন্দ করে,noyakhali
তোমার বাবা কি মাছ পোষেন ,তোর আব্বা কি মাছ হালে নি ,তোঁয়ার বাড়া কি মাছ ফোহে,তোর আব্বা কি মাছ পুষে,তোর আব্বা কি মাছ পুষে,তোর আব্বা কি মাছ হালে নি ,noyakhali
আমরা আজ খরগোশ কিনবো,আইজ্জা আনরা খরগোশ কিনগুম,আঁরা আইজ খরগোশ কিন্যুম,আঁরা আইজ খরগোশ কিনুম,আইজ্জা আনরা খরগোশ কিনগুম,আঁরা আইজ খরগোশ কিন্যুম,noyakhali
তারা কচ্ছপ দেখছে,হেতারা কচ্ছপ দেখে,হেতারা কচ্ছফ দেকতাছে,হেতরা কচ্ছপ দেখতেচে,হেতারা কচ্ছফ দেকতাছে,হেতরা কচ্ছপ দেখতেচে,noyakhali
বিড়াল দুধ খাচ্ছে,বিরাল দুধ খায়,বিলাই দুধ খাইতাছে,বিড়াল দুধ খাইতেচে,বিড়াল দুধ খাইতেচে,বিরাল দুধ খায়,noyakhali
মেয়েটি হাঁসকে খাবার দিচ্ছে,মাইয়া হেগ্গা হাঁশরে খাওন দিসে,মাইয়াডা হাঁছরে খাওন দিতাছে,মাইয়াডা হাঁসর খাইতে দিতেচে,মাইয়া হেগ্গা হাঁশরে খাওন দিসে,মাইয়াডা হাঁছরে খাওন দিতাছে,noyakhali
দোকানদার খাঁচায় টিয়া পাখি বিক্রি করছে,দোয়ানদার খাঁচা এ করি টিয়া পাখি বেচতেসে,দোকানদার খাঁসাত টিয়া ফাকি বেচতাছে,দ্যানদার খাঁচায় টিয়া পাখি বেচতেচে,দোকানদার খাঁসাত টিয়া ফাকি বেচতাছে,দ্যানদার খাঁচায় টিয়া পাখি বেচতেচে,noyakhali
আমি কবুতর পুষি,আয়ে কইতর হালি,আঁই কবুতার ফোহি,আঁই কবুতর পুষি,আঁই কবুতর পুষি,আয়ে কইতর হালি,noyakhali
তিনি ছাগল পালন করেন,হেতে ছাগল হালে,হেতে ছাগল ফালন করে,হেতে ছাগল পুষে,হেতে ছাগল হালে,হেতে ছাগল ফালন করে,noyakhali
তারা গিনিপিগ দেখছে,হেতারা গিনিপিগ দেখতাছে,হেতারা গিনিফিগ দেকতাছে,হেতরা গিনিপিগ দেখতেচে,হেতারা গিনিফিগ দেকতাছে,হেতরা গিনিপিগ দেখতেচে,noyakhali
করিম খরগোশকে গাজর দিচ্ছে,খরগোশরে করিম গাজর দিচ্চে,করিম খরগোশরে গাজর দিতাছে,করিম খরগোশরে গাজর দিতেচে,করিম খরগোশরে গাজর দিতেচে,খরগোশরে করিম গাজর দিচ্চে,noyakhali
সে গোল্ডফিশের ছবি তুলছে,হেগ্গা গোল্ডফিশর ছবি তুইত্তাসে,হেতে গোল্ডফিশের ছবি তুইলা রইছে,হেতে গোল্ডফিশর ফটো তুলতেচে,হেগ্গা গোল্ডফিশর ছবি তুইত্তাসে,হেতে গোল্ডফিশের ছবি তুইলা রইছে,noyakhali
আমরা আজ কুকুরকে গোসল করাবো,আইজ্জা আনরা কুততারে গোসল করাইয়ুম,আঁরা আইজ কুত্তারে গোছল করাইয়ুম,আঁরা আইজ কুকুররে গোসল দিমু,আঁরা আইজ কুত্তারে গোছল করাইয়ুম,আঁরা আইজ কুকুররে গোসল দিমু,noyakhali
তুমি কি হ্যামস্টার দেখেছো ,তুই কি হ্যামস্টার দেখসোস নি ,তুই কি হ্যামস্টার দেখছছ,তুঁই হ্যামস্টার দেখছ নি,তুঁই হ্যামস্টার দেখছ নি,তুই কি হ্যামস্টার দেখসোস নি ,noyakhali
সে একটি সাদা বিড়াল পুষে,হেগ্গা আক্কান সাদা বিলায় হোষে,হেতে একখান সাদা বিলাই ফোহে,হেতে একখান ফর্সা বিড়াল পুষে,হেগ্গা আক্কান সাদা বিলায় হোষে,হেতে একখান সাদা বিলাই ফোহে,noyakhali
আমার মা ময়না পাখিকে কথা শেখাচ্ছেন,আর মা ময়না পাখিরে কতা শেখাইতেসে,আঁর মা ময়না ফাকিরে কতা শিকাছে,আমার মায় ময়না পাখিরে কথা শিখাইতেচে,আঁর মা ময়না ফাকিরে কতা শিকাছে,আমার মায় ময়না পাখিরে কথা শিখাইতেচে,noyakhali
তারা অ্যাকুরিয়ামে মাছ দেখছে,হেতারা অ্যাকুরিয়াম এ মাছ দেখে,হেতারা অ্যাকুরিয়ামত মাছ দেকতাছে,হেতরা অ্যাকুরিয়ামে মাছ দেখতেচে,হেতরা অ্যাকুরিয়ামে মাছ দেখতেচে,হেতারা অ্যাকুরিয়াম এ মাছ দেখে,noyakhali
সে বেড়ালকে আদর করছে,হেতে বিলায়রে আদর কইত্তাসে,হেতে বেড়ালরে আদর করতাছে,হেতে বেড়ালরে আদর করতেচে,হেতে বিলায়রে আদর কইত্তাসে,হেতে বেড়ালরে আদর করতাছে,noyakhali
বাচ্চারা পোষা মুরগি দেখছে,লেদা হেগুনটা হোষা মুরগি দেখে,বাচ্চারা ফোহা মুরগি দেকতাছে,পোলাপান পোষা মোরগ দেখতেচে,বাচ্চারা ফোহা মুরগি দেকতাছে,পোলাপান পোষা মোরগ দেখতেচে,noyakhali
তিনি পোষা ভেড়া পালন করেন,হেতে হোষা ভেড়া হালে,হেতে ফোহা ভেড়া ফালন করে,হেতে পোষা ভেড়া পুষে,হেতে পোষা ভেড়া পুষে,হেতে হোষা ভেড়া হালে,noyakhali
আমি শালিক পাখি পুষি,আয়ে শালিক পাখি হোষি,আঁই শালিক ফাকি ফোহি,আঁই শালিক পাখি পুষি,আয়ে শালিক পাখি হোষি,আঁই শালিক ফাকি ফোহি,noyakhali
চিল আকাশে উড়ছে,চিল আকাশ এ উড়ে,চিল আকাশত উড়তাছে,চিল গগনত উড়তেচে,চিল আকাশত উড়তাছে,চিল গগনত উড়তেচে,noyakhali
সে দোয়েল পাখির গান শুনছে,হেতে দোয়েল পাখীর গান শুনে,হেতে দোয়েল ফাকির গান হুনতাছে,হেতে দোয়েল পাখির গান শুনতেচে,হেতে দোয়েল পাখির গান শুনতেচে,হেতে দোয়েল পাখীর গান শুনে,noyakhali
আমার বোন কাকের ডাক শুনেছে,আর বইন কাকের ডাক শুনে,আঁর বইন কাকের ডাক হুনছেল,আমার বইন কাকর ডাক শুনছে,আর বইন কাকের ডাক শুনে,আঁর বইন কাকের ডাক হুনছেল,noyakhali
তোমার বাবা কি বক দেখেছেন ,তোর আব্বা কি বক দেখছে নি ,তোঁয়ার বাড়া কি বক দেখছেল,তোর আব্বা কি বক দেখছে,তোঁয়ার বাড়া কি বক দেখছেল,তোর আব্বা কি বক দেখছে,noyakhali
আমরা আজ শালিক পাখির বাসা দেখবো,আইজ্জা আনরা শালিক পাখীর বাসা দেক্কুম,আঁরা আইজ শালিক ফাকির বাছা দেক্মু,আঁরা আইজ শালিক পাখির বাসা দেখুম,আঁরা আইজ শালিক পাখির বাসা দেখুম,আইজ্জা আনরা শালিক পাখীর বাসা দেক্কুম,noyakhali
তারা কাঠঠোকরা দেখছে,হেতারা কাঠঠোকরা দেখে,হেতারা কাঠঠোকরা দেকতাছে,হেতরা কাঠঠোকরা দেখতেচে,হেতারা কাঠঠোকরা দেখে,হেতারা কাঠঠোকরা দেকতাছে,noyakhali
ঘুঘু পাখি ডাকছে,ঘুঘু পাখি ডাকে,ঘুঘু ফাকি ডাকতাছে,ঘুঘু ডাকতেচে,ঘুঘু ফাকি ডাকতাছে,ঘুঘু ডাকতেচে,noyakhali
মেয়েটি হাঁসের ঝাঁক দেখছে,মাইয়া হিগ্গা হাঁসর ঝাঁক দেখে,মাইয়াডা হাঁছের ঝাঁক দেকতাছে,মাইয়াডা হাঁসের পুঞ্জি দেখতেচে,মাইয়াডা হাঁসের পুঞ্জি দেখতেচে,মাইয়া হিগ্গা হাঁসর ঝাঁক দেখে,noyakhali
দোকানদার খাঁচায় ময়না পাখি বিক্রি করছে,দোয়ানদার খাঁচা এ ময়না পাখি বেচতেসে,দোকানদার খাঁসাত ময়না ফাকি বেচতাছে,দ্যানদার খাঁচায় ময়না পাখি বেচতেচে,দোয়ানদার খাঁচা এ ময়না পাখি বেচতেসে,দোকানদার খাঁসাত ময়না ফাকি বেচতাছে,noyakhali
আমি বাবুই পাখির বাসা দেখেছি,আয়ে বাবুই পাখীর বাসা দেখছি,আঁই বাবুই ফাকির বাছা দেখছি,আঁই বাবুই পাখির বাসা দেখছি,আঁই বাবুই ফাকির বাছা দেখছি,আঁই বাবুই পাখির বাসা দেখছি,noyakhali
তিনি মাছরাঙা পাখির ছবি তুলেছেন,হেতে মাছরাঙা পাখীর ছবি তুইলেছে,হেতে মাছরাঙা ফাকির ছবি তুইলা রইছে,হেতে মাছরাঙা পাখির ফটো তুলছে,হেতে মাছরাঙা পাখির ফটো তুলছে,হেতে মাছরাঙা পাখীর ছবি তুইলেছে,noyakhali
তারা সারস পাখি দেখছে,হেতারা সারস পাখি দেখে,হেতারা ছারস ফাকি দেকতাছে,হেতরা সারস পাখি দেখতেচে,হেতারা সারস পাখি দেখে,হেতারা ছারস ফাকি দেকতাছে,noyakhali
করিম চড়ুই পাখির বাসা খুঁজে পেয়েছে,করিম চড়ুই পাখীর বাসা হুইঞ্জা ফায়ছে,করিম চড়ুই ফাকির বাছা হুজিয়া পাইছে,করিম চড়ুই পাখির বাসা বাইর পাইছে,করিম চড়ুই ফাকির বাছা হুজিয়া পাইছে,করিম চড়ুই পাখির বাসা বাইর পাইছে,noyakhali
সে কোকিলের ডাক শুনেছে,হেতে কোকিলর ডাক শুনে,হেতে কোকিলের ডাক হুনছেল,হেতে কোকিলর ডাক শুনছে,হেতে কোকিলর ডাক শুনছে,হেতে কোকিলর ডাক শুনে,noyakhali
আমরা আজ টিয়া পাখির কথা শুনবো,আইজ্জা আনরা টিয়া পাখীর কতা শুনগুম,আঁরা আইজ টিয়া ফাকির কতা হুন্যুম,আঁরা আইজ টিয়া পাখির কতা শুনুম,আইজ্জা আনরা টিয়া পাখীর কতা শুনগুম,আঁরা আইজ টিয়া ফাকির কতা হুন্যুম,noyakhali
তুমি কি বুনো হাঁস দেখেছো ,তুই কি বুনো হাঁশ দেখসোস নি ,তুই কি বুনো হাঁছ দেখছছ,তুঁই বুনো হাঁস দেখছ নি,তুই কি বুনো হাঁছ দেখছছ,তুঁই বুনো হাঁস দেখছ নি,noyakhali
সে একটি সাদা পায়রা পুষে,হেতে আক্কান সাদা পায়রা হোষে,হেতে একখান সাদা ফায়রা ফোহে,হেতে একখান ফর্সা পায়রা পুষে,হেতে একখান ফর্সা পায়রা পুষে,হেতে আক্কান সাদা পায়রা হোষে,noyakhali
আমার মা বুলবুলি পাখির খাবার দিচ্ছেন,আর মা বুলবুলি পাখীর খানা দিতেসে,আঁর মা বুলবুলি ফাকির খাওন দিতাছে,আমার মায় বুলবুলি পাখিরে খাইতে দিতেচে,আর মা বুলবুলি পাখীর খানা দিতেসে,আঁর মা বুলবুলি ফাকির খাওন দিতাছে,noyakhali
তারা ঈগল পাখির ওড়া দেখছে,হেতারা ঈগল পাখীর উড়া দেখে,হেতারা ঈগল ফাকির উড়া দেকতাছে,হেতরা ঈগল পাখির উড়ান দেখতেচে,হেতারা ঈগল ফাকির উড়া দেকতাছে,হেতরা ঈগল পাখির উড়ান দেখতেচে,noyakhali
সে পেঁচার চোখ দেখে ভয় পেয়েছে,হেতে হেঁচার চোখ দেখে ভয় ফায়ছে,হেতে ফ্যাঁসার চোখ দেকি ডরাইছে,হেতে পেঁচা পাখির চোখ দেইখ্যা ডরাইছে,হেতে পেঁচা পাখির চোখ দেইখ্যা ডরাইছে,হেতে হেঁচার চোখ দেখে ভয় ফায়ছে,noyakhali
শিক্ষক শকুন পাখির কথা বলছেন,স্যার শকুন পাখীর কতা কইতেসে,শিক্সক শকুন ফাকির কতা কইতাছে,মাস্টরি শকুন পাখির কতা কইতেচে,স্যার শকুন পাখীর কতা কইতেসে,শিক্সক শকুন ফাকির কতা কইতাছে,noyakhali
বাচ্চারা পানকৌড়ি পাখি দেখছে,লেদা হেগুনটা পানকৌড়ি পাখি দেখে,বাচ্চারা ফানকৌড়ি ফাকি দেকতাছে,পোলাপান পানকৌড়ি পাখি দেখতেচে,বাচ্চারা ফানকৌড়ি ফাকি দেকতাছে,পোলাপান পানকৌড়ি পাখি দেখতেচে,noyakhali
তিনি রাজহাঁস পালন করেন,হেতে রাজহাঁশ হালে,হেতে রাজহাঁছ ফালন করে,হেতে রাজহাঁস পুষে,হেতে রাজহাঁস পুষে,হেতে রাজহাঁশ হালে,noyakhali
আমি কাঁক দেখেছি,আয়ে কাঁক দেখছি,আঁই কাঁক দেখছি,আঁই কাঁক দেখছি,আয়ে কাঁক দেখছি,আঁই কাঁক দেখছি,noyakhali
ইলিশ মাছ খুব সুস্বাদু,ইলিশ মাছ খুব সুস্বাদু,ইলিশ মাছ খুব হুস্বাদু,ইলিশ মাছ হাড্ডি মজা,ইলিশ মাছ খুব হুস্বাদু,ইলিশ মাছ হাড্ডি মজা,noyakhali
সে রুই মাছ কিনছে,হেতে রুই মাছ কিনতেসে,হেতে রুই মাছ কিন্নতাছে,হেতে রুই মাছ কিনতেচে,হেতে রুই মাছ কিনতেচে,হেতে রুই মাছ কিনতেসে,noyakhali
